city;area;population
Zell im Wiesental, Stadt;36.13;6059
Lübz, Stadt;49.16;6057
Beilstein, Stadt;25.25;6044
Neumarkt-Sankt Veit, St;61.07;6036
Geisingen, Stadt;73.74;6028
Windsbach, St;68.11;6010
Dornhan, Stadt;44.92;6010
Dietfurt a.d.Altmühl, St;78.79;5991
Güglingen, Stadt;16.27;5982
Fürstenberg/Havel, Stadt;212.53;5972
Bad Königshofen i.Grabfeld, St;69.52;5969
Thannhausen, St;20.03;5967
Geislingen, Stadt;31.95;5962
Wassertrüdingen, St;53.58;5928
Vilseck, St;64.68;5926
Stadtroda, Stadt;16.81;5910
Heitersheim, Stadt;11.71;5897
Ruhla, Stadt;38.51;5883
Bad Marienberg (Westerwald), Stadt;9.96;5874
Hachenburg, Stadt;21.42;5871
Neustadt a.d.Waldnaab, St;9.94;5868
Grebenstein, Stadt;49.85;5866
Linz am Rhein, Stadt;17.98;5858
Schwarzheide, Stadt;33.23;5855
Norderney, Stadt;26.29;5820
Hirschau, St;74.93;5819
Gransee, Stadt;121.15;5816
Wittichenau, Stadt;60.72;5813
Wolfach, Stadt;67.99;5810
Tittmoning, St;72.04;5792
Hausach, Stadt;36.07;5779
Drebkau, Stadt;142.81;5777
Bräunlingen, Stadt;62.1;5774
Großschirma, Stadt;61.44;5772
Hermeskeil, Stadt;30.85;5770
Glücksburg (Ostsee), Stadt;39.7;5759
Grabow, Stadt;47.68;5751
Traben-Trarbach, Stadt;31.35;5740
Vogtsburg im Kaiserstuhl, Stadt;37.36;5737
Schrozberg, Stadt;105.21;5730
Leun, Stadt;28.66;5722
Wemding, St;31.62;5721
Bad Hönningen, Stadt;20.09;5719
Stavenhagen, Reuterstadt, Stadt;40.84;5718
Uebigau-Wahrenbrück, Stadt;134.91;5717
Dierdorf, Stadt;31.9;5708
Bad Gottleuba-Berggießhübel, Stadt;88.75;5708
Bodenwerder, Stadt;28.93;5707
Artern/Unstrut, Stadt;24.04;5707
Stolpen, Stadt;60.86;5677
Haiterbach, Stadt;28.92;5663
Marne, Stadt;4.83;5652
Stadtoldendorf, Stadt;24.86;5638
Mellrichstadt, St;55.78;5625
Westerburg, Stadt;18.48;5623
Falkenstein/Harz, Stadt;102.97;5619
Waibstadt, Stadt;25.57;5607
Schlüsselfeld, St;70.25;5604
Ingelfingen, Stadt;46.48;5594
Münzenberg, Stadt;31.63;5584
Geithain, Stadt;30.18;5580
Zeil a.Main, St;35.71;5573
Altentreptow, Stadt;52.82;5533
Gersfeld (Rhön), Stadt;89.37;5531
Biesenthal, Stadt;60.47;5525
Dornburg-Camburg, Stadt;30.73;5518
Ellrich, Stadt;69.43;5512
Gadebusch, Stadt;47.64;5510
Riedenburg, St;100.45;5509
Leutershausen, St;84.11;5488
Ohrdruf, Stadt;39.75;5466
Harburg (Schwaben), St;73.16;5465
Seelow, Stadt;42.42;5464
Abenberg, St;48.41;5454
Laage, Stadt;81.38;5454
Rockenhausen, Stadt;36.84;5425
Thum, Stadt;18.89;5424
Eisfeld, Stadt;46.88;5421
Neubulach, Stadt;24.69;5420
Pfreimd, St;51.45;5419
Battenberg (Eder), Stadt;64.73;5406
Schöppenstedt, Stadt;39.65;5392
Schleusingen, Stadt;36.81;5392
Prüm, Stadt;22.86;5384
Meersburg, Stadt;12.08;5376
Lütjenburg, Stadt;6.15;5366
Pottenstein, St;73.29;5350
Roßleben, Stadt;33.42;5323
Kemnath, St;56.82;5319
Tharandt, Stadt;71.21;5316
Wilthen, Stadt;17.06;5315
Hagenbach, Stadt;15.86;5312
Arzberg, St;43.2;5300
Eltmann, St;40.75;5296
Gronau (Leine), Stadt;20.59;5275
Diemelstadt, Stadt;82.58;5274
Treffurt, Stadt;54.76;5265
Lommatzsch, Stadt;66.47;5264
Dahme/Mark, Stadt;162.01;5253
Hollfeld, St;80.66;5232
Külsheim, Stadt;81.46;5231
Otterberg, Stadt;32.1;5230
Marienmünster, Stadt;64.36;5230
Naumburg, Stadt;66.29;5228
Velburg, St;175.69;5227
Niedenstein, Stadt;30.61;5225
Erbendorf, St;67.54;5215
Wirges, Stadt;10.13;5212
Adorf/Vogtl., Stadt;42.8;5207
Seehausen (Altmark), Hansestadt;107.01;5198
Cochem, Stadt;21.2;5181
Kitzscher, Stadt;28.99;5174
Röbel/Müritz, Stadt;30.17;5151
Trendelburg, Stadt;69.35;5132
Borkum, Stadt;30.97;5132
Strasburg (Uckermark), Stadt;86.84;5122
Hofheim i.UFr., St;56.36;5115
Bredstedt, Stadt;9.75;5100
Unkel, Stadt;8.16;5098
Oettingen i.Bay., St;34.23;5096
Windischeschenbach, St;36.37;5095
Kastellaun, Stadt;8.47;5094
Steinbach-Hallenberg, Kurort, Stadt;22.64;5084
Amöneburg, Stadt;43.95;5077
Neudenau, Stadt;32.92;5046
Heringen/Helme, Stadt;66.73;5033
Stühlingen, Stadt;93.22;5028
Lindenfels, Stadt;21.09;5027
Kusel, Stadt;14.37;5018
Crivitz, Stadt;75.48;5017
Freren, Stadt;48.93;4980
Heimsheim, Stadt;14.3;4975
Munderkingen, Stadt;13.08;4969
Wittenburg, Stadt;46.25;4966
Freinsheim, Stadt;13.6;4964
Burg Stargard, Stadt;61.68;4961
Schwaan, Stadt;38.29;4958
Eggesin, Stadt;88.01;4942
Oberviechtach, St;62.41;4941
Monheim, St;69.35;4940
Hitzacker (Elbe), Stadt;58.45;4932
Spalt, St;55.72;4929
Forchtenberg, Stadt;38.08;4916
Ehrenfriedersdorf, Stadt;15.86;4915
Lichtenau, Stadt;27.63;4913
Tönning, Stadt;44.41;4909
Ronneburg, Stadt;19.19;4902
Weismain, St;90.15;4896
Zarrentin am Schaalsee, Stadt;91.89;4878
Bad Sulza, Stadt;45.35;4873
Niederstetten, Stadt;104.06;4868
Freyburg (Unstrut), Stadt;46.55;4862
Rothenburg/O.L., Stadt;72.29;4860
Adelsheim, Stadt;43.84;4859
Stadtilm, Stadt;17.27;4854
Creußen, St;60.49;4802
Bischofsheim a.d.Rhön, St;67.71;4794
Kröpelin, Stadt;67.26;4780
Triberg im Schwarzwald, Stadt;33.33;4778
Herrnhut, Stadt;51.7;4768
Mahlberg, Stadt;16.59;4766
Todtnau, Stadt;69.59;4764
Augustusburg, Stadt;23.43;4746
Emmelshausen, Stadt;7.91;4746
Herbstein, Stadt;79.98;4745
Wörth a.Main, St;15.89;4727
Hartenstein, Stadt;36.72;4717
Lauter/Sa., Stadt;21.55;4686
Oppenau, Stadt;73.04;4684
Wachenheim an der Weinstraße, Stadt;24.97;4683
Lauchheim, Stadt;40.86;4681
Geisa, Stadt;71.74;4675
Marlow, Stadt;140.07;4668
Lübtheen, Stadt;119.7;4653
Schwarzenbach a.Wald, St;36.7;4650
Lunzenau, Stadt;28.36;4645
Creglingen, Stadt;117.22;4640
Schömberg, Stadt;23.27;4617
Wörth a.d.Donau, St;52.25;4586
Heideck, St;58.64;4584
Scheinfeld, St;45.11;4583
Groß-Bieberau, Stadt;18.27;4572
Nassau, Stadt;17.51;4571
Waldkappel, Stadt;96.48;4570
Belgern, Stadt;83.69;4570
Krautheim, Stadt;52.92;4540
Loitz, Stadt;89.54;4519
Tengen, Stadt;61.98;4507
Schönau, Stadt;22.49;4502
Geringswalde, Stadt;29.93;4498
Niederstotzingen, Stadt;29.81;4497
Iphofen, St;78.06;4495
Dargun, Stadt;117.14;4471
Rauschenberg, Stadt;67.33;4463
Gefrees, St;50.3;4459
Dahlen, Stadt;71.68;4457
Hallenberg, Stadt;65.35;4435
Müllrose, Stadt;68.49;4432
Tann (Rhön), Stadt;60.45;4430
Dahn, Stadt;40.75;4427
Pressath, St;66.33;4423
Peitz, Stadt;13.38;4420
Güsten, Stadt;36.16;4394
Selbitz, St;27.75;4389
Wilster, Stadt;2.71;4373
Sternberg, Stadt;67.67;4371
Königsbrück, Stadt;77.83;4362
Heimbach, Stadt;64.96;4359
Johanngeorgenstadt, Stadt;29.59;4358
Berka/Werra, Stadt;56.93;4358
Elsterberg, Stadt;25.07;4354
Dingelstädt, Stadt;20.4;4338
Rabenau, Stadt;30.73;4335
Dransfeld, Stadt;28.75;4328
Waldershof, St;60.37;4321
Schönberg, Stadt;38.09;4317
Penzlin, Stadt;115.54;4306
Bad Berneck i.Fichtelgebirge, St;33.56;4296
Putbus, Stadt;66.59;4294
Lengefeld, Stadt;47.52;4290
Schnaittenbach, St;63.41;4270
Vellberg, Stadt;31.88;4258
Wyk auf Föhr, Stadt;8;4242
Bad Münster am Stein-Ebernburg, Stadt;9.53;4233
Liebenwalde, Stadt;142.07;4229
Wanfried, Stadt;46.9;4222
Waldenburg, Stadt;25.06;4217
Gerabronn, Stadt;40.38;4207
Hornberg, Stadt;54.45;4187
Baruth/Mark, Stadt;231.89;4182
Lichtenfels, Stadt;96.73;4170
Netzschkau, Stadt;12.52;4149
Nastätten, Stadt;13.02;4138
Tambach-Dietharz/Thür. Wald, Stadt;41.54;4134
Allendorf (Lumda), Stadt;22.01;4129
Zell (Mosel), Stadt;44.98;4127
Kirchberg an der Jagst, Stadt;40.93;4119
Rennerod, Stadt;18.14;4115
Steinach, Stadt;26.35;4098
Gräfenberg, St;37.86;4062
Mühlberg/Elbe, Stadt;88.56;4051
Baumholder, Stadt;69.47;4044
Lucka, Stadt;12.99;4031
Dassow, Stadt;66.53;4025
Baunach, St;32.14;4023
Lambrecht (Pfalz), Stadt;8.31;4022
Pappenheim, St;64.32;4010
Regis-Breitingen, Stadt;26.35;4006
Wolkenstein, Stadt;30.51;4001
Amorbach, St;50.92;3975
Seßlach, St;72.53;3962
Trebsen/Mulde, Stadt;35.03;3958
Rheinböllen, Stadt;16.33;3954
Seifhennersdorf, Stadt;19.21;3935
Bad Buchau, Stadt;23.77;3933
Neckarbischofsheim, Stadt;26.41;3923
Neubukow, Stadt;24.99;3917
Eschenbach i.d.OPf., St;35.13;3916
Bad Schandau, Stadt;46.8;3912
Gemünden (Wohra), Stadt;58.67;3895
Tessin, Stadt;24.52;3895
Goldberg, Stadt;64.84;3894
Niedernhall, Stadt;17.71;3889
Neukloster, Stadt;27.49;3875
Vöhrenbach, Stadt;70.48;3853
Schiltach, Stadt;34.22;3849
Reichenbach/O.L., Stadt;42.79;3849
Strehla, Stadt;30.07;3849
Triptis, Stadt;32.97;3843
Schlotheim, Stadt;22.31;3835
Neckarsteinach, Stadt;17.23;3831
Wildenfels, Stadt;20.67;3830
Welzow, Stadt;39.36;3827
Freudenberg, Stadt;34.78;3796
Kirchberg (Hunsrück), Stadt;18.05;3794
Auma-Weidatal, Stadt;55.75;3791
Lorch, Stadt;54.53;3782
Ruhland, Stadt;37.12;3754
Bad Elster, Stadt;19.73;3749
Tanna, Stadt;87.18;3746
Hoya, Stadt;8.39;3740
Deidesheim, Stadt;26.53;3739
Geyer, Stadt;18.76;3724
Greußen, Stadt;19.17;3703
Brück, Stadt;85.71;3692
Bad Muskau, Stadt;15.35;3688
Königsberg i.Bay., St;61.9;3687
St. Blasien, Stadt;54.36;3684
Gröningen, Stadt;59.68;3670
Ellingen, St;31.25;3654
Woldegk, Stadt;103.71;3654
Gößnitz, Stadt;14.04;3652
Vacha, Stadt;19.32;3644
Bad Köstritz, Stadt;16.85;3642
Grünsfeld, Stadt;44.72;3639
Rötha, Stadt;17.88;3629
Marktbreit, St;20.16;3620
Goldkronach, St;23.24;3612
Saalburg-Ebersdorf, Stadt;71.9;3585
Tegernsee, St;22.77;3582
Kelbra (Kyffhäuser), Stadt;40.55;3578
Bad Karlshafen, Stadt;14.85;3561
Bernstadt a. d. Eigen, Stadt;51.89;3558
Mühlheim an der Donau, Stadt;21.73;3544
Pausa/Vogtl., Stadt;36.57;3543
Lauscha, Stadt;18.72;3535
Mirow, Stadt;84.08;3526
Berga/Elster, Stadt;43.48;3526
Krakow am See, Stadt;87.11;3522
Egeln, Stadt;29.14;3510
Ludwigsstadt, St;58.73;3504
Münstermaifeld, Stadt;27.79;3498
Schildau, Gneisenaustadt, Stadt;74.61;3483
Wasungen, Stadt;29.5;3467
Rötz, St;66.69;3464
Neustadt (Dosse), Stadt;75.45;3462
Langewiesen, Stadt;27.5;3460
Eschershausen, Stadt;23.87;3460
Hirschhorn (Neckar), Stadt;30.86;3455
Neusalza-Spremberg, Stadt;22.89;3453
Kranichfeld, Stadt;23.08;3450
Hohnstein, Stadt;64.62;3436
Ostheim v.d.Rhön, St;40.83;3407
Owen, Stadt;9.7;3406
Döbern, Stadt;15.73;3399
Nebra (Unstrut), Stadt;25.42;3399
Weißensee, Stadt;46.55;3397
Sonnewalde, Stadt;118.53;3385
Kirtorf, Stadt;79.91;3368
Schönwald, St;19.19;3357
Warin, Stadt;44.27;3357
Havelsee, Stadt;81.27;3349
Schöneck/Vogtl., Stadt;54.91;3343
Kirchenlamitz, St;48.48;3315
Joachimsthal, Stadt;120.18;3311
Ulmen, Stadt;28.62;3307
Speicher, Stadt;15.36;3295
Wurzbach, Stadt;72.23;3291
Gehren, Stadt;29.99;3285
Weißenberg, Stadt;50.92;3280
Oberriexingen, Stadt;8.16;3263
Weißenstadt, St;42.24;3248
Bärnau, St;74.42;3246
Liebenau, Stadt;48.87;3223
Stadtsteinach, St;39.79;3217
Stromberg, Stadt;9.03;3215
Marktleuthen, St;35.48;3212
Lebus, Stadt;54;3197
Schönewalde, Stadt;155.14;3187
Lychen, Stadt;110.51;3150
Löwenstein, Stadt;23.46;3139
Prichsenstadt, St;48.86;3129
Hillesheim, Stadt;20.63;3126
Friedland, Stadt;173.21;3109
Waischenfeld, St;57.2;3101
Gnoien, Stadt;40.97;3095
Fridingen an der Donau, Stadt;22.47;3088
Klütz, Stadt;44.12;3073
Bürgel, Stadt;27.16;3067
Laucha an der Unstrut, Stadt;31.14;3066
Frauenstein, Stadt;58.84;3058
Kaisersesch, Stadt;8.18;3052
Schalkau, Stadt;33.58;3049
Elterlein, Stadt;45.88;3048
Lindow (Mark), Stadt;64.91;3047
Dömitz, Stadt;60.43;3047
Jarmen, Stadt;30.64;3044
Hatzfeld (Eder), Stadt;58.51;3040
Braubach, Stadt;19.54;3036
Wesenberg, Stadt;89.44;3029
Rehna, Stadt;22.52;3029
Ulrichstein, Stadt;65.61;3014
Münchenbernsdorf, Stadt;15.43;3006
Bad Teinach-Zavelstein, Stadt;25.18;3005
Wesselburen, Stadt;5.14;3003
Frankenau, Stadt;57.29;2988
Themar, Stadt;20.19;2969
Burgbernheim, St;42.3;2966
Remda-Teichel, Stadt;79.62;2951
Waldenburg, Stadt;31.55;2912
Elstra, Stadt;32.64;2909
Rhens, Stadt;16.3;2882
Bad Bibra, Stadt;49.77;2875
Jöhstadt, Stadt;49.68;2867
Wallenfels, St;45.66;2863
Wustrow (Wendland), Stadt;30.01;2858
Ebeleben, Stadt;40.74;2850
Adenau, Stadt;18.56;2839
Oberwesel, Stadt;18.08;2838
Meisenheim, Stadt;10.34;2833
Ravenstein, Stadt;55.97;2831
Wolframs-Eschenbach, St;25.47;2817
Romrod, Stadt;54.43;2806
Gützkow, Stadt;42.68;2800
Eibelstadt, St;7.06;2797
Schillingsfürst, St;27.52;2791
Putlitz, Stadt;118.47;2758
Kohren-Sahlis, Stadt;36.72;2750
Sankt Goar, Stadt;22.93;2737
Selters (Westerwald), Stadt;8.72;2734
Wegeleben, Stadt;51.78;2719
Merkendorf, St;26.08;2707
Mylau, Stadt;4.73;2699
Brüel, Stadt;27.3;2679
Rastenberg, Stadt;35.43;2678
Schkölen, Stadt;53.3;2641
Tribsees, Stadt;54.76;2637
Großbreitenbach, Stadt;19.62;2636
Sulzburg, Stadt;22.73;2632
Bad Wilsnack, Stadt;79.21;2612
Osterfeld, Stadt;27.61;2608
Schlieben, Stadt;78.22;2588
Gefell, Stadt;45.22;2584
Dommitzsch, Stadt;30.2;2568
Schwanebeck, Stadt;32.66;2566
Großenehrich, Stadt;63.27;2554
Alsleben (Saale), Stadt;23.64;2550
Lauterstein, Stadt;23.32;2545
Schönsee, St;50.26;2532
Golßen, Stadt;63.27;2532
Scheer, Stadt;18.72;2530
Friedrichstadt, Stadt;4.03;2490
Grebenau, Stadt;55.37;2489
Garding, Stadt;3.06;2489
Bad Tennstedt, Stadt;27.27;2487
Friesack, Stadt;83.68;2484
Ziesar, Stadt;67.46;2482
Betzenstein, St;51.85;2476
Schlettau, Stadt;21.19;2468
Ostritz, Stadt;23.37;2468
Buttstädt, Stadt;18.31;2458
Stadtlengsfeld, Stadt;27.61;2442
Gartz (Oder), Stadt;61.7;2438
Pleystein, St;42.41;2431
Hornburg, Stadt;22.11;2428
Creuzburg, Stadt;35.33;2423
Eckartsberga, Stadt;35.96;2412
Bad Grund (Harz), Bergstadt;7.12;2400
Krempe, Stadt;3.39;2357
Rethem (Aller), Stadt;33.76;2357
Schönau im Schwarzwald, Stadt;14.7;2321
Lenzen (Elbe), Stadt;95.94;2293
Oberwiesenthal, Kurort, Stadt;39.98;2278
Hirschberg, Stadt;24.13;2240
Leutenberg, Stadt;57.17;2239
Heldrungen, Stadt;23.29;2237
Königstein/Sächs. Schw., Stadt;26.93;2231
Mainbernheim, St;12.21;2230
Ortrand, Stadt;7.35;2213
Garz/Rügen, Stadt;65.92;2210
Scheibenberg, Stadt;9.01;2203
Meyenburg, Stadt;50.62;2203
Veringenstadt, Stadt;31.25;2200
Lauterecken, Stadt;8.89;2194
Katzenelnbogen, Stadt;9.2;2183
Fladungen, St;46.36;2178
Rerik, Stadt;33.44;2176
Aach, Stadt;10.68;2174
Oderberg, Stadt;35.93;2172
Rosenthal, Stadt;51.54;2171
Gräfenthal, Stadt;36.43;2150
Hayingen, Stadt;63.37;2122
Gebesee, Stadt;24.03;2105
Bad Colberg-Heldburg, Stadt;53.37;2071
Rieneck, St;26.2;2064
Teuschnitz, St;34.26;2062
Schauenstein, St;26.66;2024
Wiesensteig, Stadt;23.4;2013
Brüssow, Stadt;101.03;1994
Niemegk, Stadt;44.81;1987
Sayda, Stadt;35.17;1958
Sachsenhagen, Stadt;15.53;1954
Magdala, Stadt;20.52;1952
Wiehe, Stadt;24.36;1949
Wolfstein, Stadt;13.74;1944
Penkun, Stadt;78.64;1907
Bacharach, Stadt;23.33;1877
Marktsteft, St;10.52;1849
Widdern, Stadt;25.23;1846
Usedom, Stadt;38.65;1838
Plaue, Stadt;18.19;1838
Kindelbrück, Stadt;13.29;1829
Hettingen, Stadt;46.06;1812
Neukalen, Stadt;46.85;1811
Lehesten, Stadt;35.96;1807
Oberweißbach/Thür. Wald, Stadt;9.62;1803
Velden, St;21.32;1799
Teupitz, Stadt;48;1786
Mühltroff, Stadt;27.7;1745
Ranis, Stadt;10.55;1725
Kaltennordheim, Stadt;15.62;1712
Bad Sülze, Stadt;26.38;1707
Langenburg, Stadt;31.4;1706
Röttingen, St;27.2;1706
Rhinow, Stadt;31.51;1667
Oberhof, Stadt;23.47;1666
Stadt Wehlen, Stadt;10.81;1666
Altenau, Bergstadt;4.66;1648
Hohenleuben, Stadt;9.52;1628
Arneburg, Stadt;30.64;1601
Ornbau, St;15.16;1584
Lassan, Stadt;27.98;1558
Aub, St;17.54;1538
Neuerburg, Stadt;10.2;1530
Stadtprozelten, St;10.87;1530
Kroppenstedt, Stadt;38.65;1511
Buckow (Märkische Schweiz), Stadt;14.31;1487
Franzburg, Stadt;15.19;1467
Hornbach, Stadt;13.32;1462
Hohenberg a.d.Eger, St;8.2;1458
Lieberose, Stadt;72.52;1417
Richtenberg, Stadt;15.62;1381
Liebstadt, Stadt;37.41;1376
Manderscheid, Stadt;10.06;1330
Buttelstedt, Stadt;18.83;1328
Sankt Goarshausen, Loreleystadt, Stadt;7;1292
Neustadt am Kulm, St;20.3;1205
Schraplau, Stadt;7.06;1179
Werben (Elbe), Hansestadt;53.37;1166
Orlamünde, Stadt;7.58;1146
Lichtenberg, St;9.47;1080
Schwarzenborn, Stadt;26.9;1066
Obermoschel, Stadt;10.15;1066
Clingen, Stadt;10.75;1059
Kupferberg, St;8.28;1048
Rothenfels, St;12.06;987
Sandau (Elbe), Stadt;18.58;930
Wildemann, Bergstadt;3.34;927
Stößen, Stadt;7.29;922
Kyllburg, Stadt;4.62;879
Kaub, Stadt;12.98;847
Märkisch Buchholz, Stadt;24.65;771
Ziegenrück, Stadt;8.24;717
Schnackenburg, Stadt;23.7;577
Ummerstadt, Stadt;15.71;487
Neumark, Stadt;8.64;467
Arnis, Stadt;0.45;297
